DATE,DCOILBRENTEU_NBD20001229
2003-09-17,114.08326
2003-09-18,113.19752
2003-09-19,112.97609
2003-09-22,114.34898
2003-09-23,113.99469
2003-09-24,118.73339
2003-09-25,119.75199
2003-09-26,119.66342
2003-09-29,122.98494
2003-09-30,124.40213
2003-10-01,123.91497
2003-10-02,127.98937
2003-10-03,129.05226
2003-10-06,131.75376
2003-10-07,129.98229
2003-10-08,128.25509
2003-10-09,133.79097
2003-10-10,137.86537
2003-10-13,137.28964
2003-10-14,139.28255
2003-10-15,138.30824
2003-10-16,137.51107
2003-10-17,134.05669
2003-10-20,131.88663
2003-10-21,131.13375
2003-10-22,129.53942
2003-10-23,131.22232
2003-10-24,132.90523
2003-10-27,130.11515
2003-10-28,128.38795
2003-10-29,126.48361
2003-10-30,121.65633
2003-10-31,123.47210
2003-11-03,123.02923
2003-11-04,120.99203
2003-11-05,123.56067
2003-11-06,126.30647
2003-11-07,127.23649
2003-11-10,127.63508
2003-11-11,127.90080
2003-11-12,126.57219
2003-11-13,128.47653
2003-11-14,131.88663
2003-11-17,128.34367
2003-11-18,129.58370
2003-11-19,133.43667
2003-11-20,132.32950
2003-11-21,131.93091
2003-11-24,123.95926
2003-11-25,122.32064
2003-11-26,125.02214
2003-11-27,127.98937
2003-11-28,128.21081
2003-12-01,124.75642
2003-12-02,128.87511
2003-12-03,129.58370
2003-12-04,129.53942
2003-12-05,127.85651
2003-12-08,135.16386
2003-12-09,134.05669
2003-12-10,132.94951
2003-12-11,131.93091
2003-12-12,133.92383
2003-12-15,136.80248
2003-12-16,135.69531
2003-12-17,137.33392
2003-12-18,136.35961
2003-12-19,137.42250
2003-12-22,127.45793
2003-12-23,125.33215
2003-12-24,130.42516
2003-12-25,.
2003-12-26,.
2003-12-29,129.18512
2003-12-30,133.30381
2003-12-31,134.18955
2004-01-01,.
2004-01-02,130.86802
2004-01-05,143.04694
2004-01-06,138.17538
2004-01-07,137.24535
2004-01-08,137.77679
2004-01-09,141.31975
2004-01-12,139.10540
2004-01-13,144.15412
2004-01-14,141.00974
2004-01-15,139.19398
2004-01-16,138.44110
2004-01-19,140.25686
2004-01-20,142.86980
2004-01-21,141.49690
2004-01-22,139.14969
2004-01-23,142.07263
2004-01-26,137.95394
2004-01-27,137.51107
2004-01-28,136.27104
2004-01-29,130.51373
2004-01-30,130.77945
2004-02-02,134.18955
2004-02-03,133.17095
2004-02-04,131.22232
2004-02-05,128.52081
2004-02-06,129.58370
2004-02-09,128.87511
2004-02-10,133.12666
2004-02-11,134.32241
2004-02-12,133.61382
2004-02-13,137.11249
2004-02-16,137.64393
2004-02-17,139.19398
2004-02-18,139.81399
2004-02-19,140.07972
2004-02-20,138.26395
2004-02-23,141.23118
2004-02-24,139.94686
2004-02-25,143.75554
2004-02-26,143.71125
2004-02-27,145.88131
2004-03-01,147.65279
2004-03-02,151.24004
2004-03-03,147.56422
2004-03-04,148.13995
2004-03-05,152.34721
2004-03-08,151.77148
2004-03-09,149.33570
2004-03-10,145.39415
2004-03-11,147.12135
2004-03-12,145.08415
2004-03-15,152.30292
2004-03-16,153.76439
2004-03-17,154.78299
2004-03-18,152.48007
2004-03-19,152.03720
2004-03-22,148.67139
2004-03-23,152.34721
2004-03-24,151.19575
2004-03-25,147.56422
2004-03-26,143.97697
2004-03-29,141.89548
2004-03-30,146.32418
2004-03-31,143.00266
2004-04-01,144.33127
2004-04-02,138.13109
2004-04-05,138.04252
2004-04-06,139.41541
2004-04-07,146.45704
2004-04-08,150.48716
2004-04-09,150.70859
2004-04-12,152.83437
2004-04-13,151.24004
2004-04-14,148.53853
2004-04-15,149.33570
2004-04-16,149.91143
2004-04-19,153.72011
2004-04-20,148.62710
2004-04-21,147.16563
2004-04-22,147.20992
2004-04-23,149.60142
2004-04-26,151.37290
2004-04-27,151.06289
2004-04-28,155.09300
2004-04-29,153.49867
2004-04-30,156.02303
2004-05-03,154.87157
2004-05-04,159.74314
2004-05-05,162.00177
2004-05-06,164.08326
2004-05-07,164.96900
2004-05-10,158.68025
2004-05-11,163.72896
2004-05-12,168.06909
2004-05-13,169.61913
2004-05-14,172.89637
2004-05-17,172.18778
2004-05-18,170.19486
2004-05-19,169.84057
2004-05-20,172.23206
2004-05-21,166.51904
2004-05-24,173.69353
2004-05-25,170.32772
2004-05-26,168.51196
2004-05-27,163.99469
2004-05-28,163.86182
2004-05-31,163.86182
2004-06-01,172.94066
2004-06-02,168.24624
2004-06-03,160.58459
2004-06-04,159.30027
2004-06-07,157.52879
2004-06-08,157.08592
2004-06-09,153.63153
2004-06-10,158.32595
2004-06-11,156.02303
2004-06-14,155.97874
2004-06-15,153.49867
2004-06-16,153.05580
